sample,subgroup,n_readings,reading_numbers,element,n_detected,n_below_detection,n_missing,mean_basis,mean_ppm,sample_sd_ppm,sem_ppm,min_ppm,max_ppm,mean_reported_2sigma_ppm,nominal_instrument_1sigma_mean_ppm
sample4,big grains,5,4474 4475 4476 4477 4478,Zr,0,5,0,detected readings only; no imputation,,,,,,,
sample4,small grains,5,4479 4480 4481 4482 4483,Ag,0,5,0,detected readings only; no imputation,,,,,,,
sample4,small grains,5,4479 4480 4481 4482 4483,As,2,3,0,detected readings only; no imputation,1.86075,0.45587174183096724,0.32235,1.5384,2.1831,1.30105,0.4599920739806285
sample4,small grains,5,4479 4480 4481 4482 4483,Au,0,5,0,detected readings only; no imputation,,,,,,,
sample4,small grains,5,4479 4480 4481 4482 4483,Bal,5,0,0,detected readings only; no imputation,941956.375,3817.1416588016973,1707.0776457653806,937713.0625,947284.5625,407.08364,91.16200675850767
sample4,small grains,5,4479 4480 4481 4482 4483,Bi,0,5,0,detected readings only; no imputation,,,,,,,
sample4,small grains,5,4479 4480 4481 4482 4483,Cd,0,5,0,detected readings only; no imputation,,,,,,,
sample4,small grains,5,4479 4480 4481 4482 4483,Co,0,5,0,detected readings only; no imputation,,,,,,,
sample4,small grains,5,4479 4480 4481 4482 4483,Cr,5,0,0,detected readings only; no imputation,216.48012000000003,60.07816720986917,26.867773168973265,132.1605,298.401,36.02218,8.062551679927392
sample4,small grains,5,4479 4480 4481 4482 4483,Cu,0,5,0,detected readings only; no imputation,,,,,,,
sample4,small grains,5,4479 4480 4481 4482 4483,Fe,5,0,0,detected readings only; no imputation,54187.08438,3589.3249178816222,1605.1949019434314,49245.2578,58250.0469,159.43464,35.660499940407455
sample4,small grains,5,4479 4480 4481 4482 4483,Hf,0,5,0,detected readings only; no imputation,,,,,,,
sample4,small grains,5,4479 4480 4481 4482 4483,Hg,0,5,0,detected readings only; no imputation,,,,,,,
sample4,small grains,5,4479 4480 4481 4482 4483,Mn,5,0,0,detected readings only; no imputation,718.431,40.25985690250277,18.00475535968206,654.6385,755.2921,36.80344,8.23099700502922
sample4,small grains,5,4479 4480 4481 4482 4483,Mo,0,5,0,detected readings only; no imputation,,,,,,,
sample4,small grains,5,4479 4480 4481 4482 4483,Nb,0,5,0,detected readings only; no imputation,,,,,,,
sample4,small grains,5,4479 4480 4481 4482 4483,Ni,5,0,0,detected readings only; no imputation,2877.53616,216.17076978962248,96.67450719961076,2581.1208,3118.0229,31.53784,7.0565715269102185
sample4,small grains,5,4479 4480 4481 4482 4483,Pb,5,0,0,detected readings only; no imputation,11.868739999999999,0.8980686014999079,0.40162848828239267,10.8829,12.6881,1.2841,0.28719220828567055
sample4,small grains,5,4479 4480 4481 4482 4483,Pd,0,5,0,detected readings only; no imputation,,,,,,,
sample4,small grains,5,4479 4480 4481 4482 4483,Rb,1,4,0,detected readings only; no imputation,0.8836,,,0.8836,0.8836,0.5631,0.28155
sample4,small grains,5,4479 4480 4481 4482 4483,Re,0,5,0,detected readings only; no imputation,,,,,,,
sample4,small grains,5,4479 4480 4481 4482 4483,Sb,0,5,0,detected readings only; no imputation,,,,,,,
sample4,small grains,5,4479 4480 4481 4482 4483,Se,0,5,0,detected readings only; no imputation,,,,,,,
sample4,small grains,5,4479 4480 4481 4482 4483,Sn,0,5,0,detected readings only; no imputation,,,,,,,
sample4,small grains,5,4479 4480 4481 4482 4483,Sr,0,5,0,detected readings only; no imputation,,,,,,,
sample4,small grains,5,4479 4480 4481 4482 4483,Ta,0,5,0,detected readings only; no imputation,,,,,,,
sample4,small grains,5,4479 4480 4481 4482 4483,Th,0,5,0,detected readings only; no imputation,,,,,,,
sample4,small grains,5,4479 4480 4481 4482 4483,Ti,0,5,0,detected readings only; no imputation,,,,,,,
sample4,small grains,5,4479 4480 4481 4482 4483,U,0,5,0,detected readings only; no imputation,,,,,,,
sample4,small grains,5,4479 4480 4481 4482 4483,V,0,5,0,detected readings only; no imputation,,,,,,,
sample4,small grains,5,4479 4480 4481 4482 4483,W,0,5,0,detected readings only; no imputation,,,,,,,
sample4,small grains,5,4479 4480 4481 4482 4483,Y,0,5,0,detected readings only; no imputation,,,,,,,
sample4,small grains,5,4479 4480 4481 4482 4483,Zn,5,0,0,detected readings only; no imputation,31.30674,4.929010381202296,2.204320454834097,24.6558,37.6582,2.81176,0.6295954599582179
