scenario,time_days,generated_h2_kg,dissolved_reactor_h2_kg,free_reactor_h2_kg,retained_separator_h2_kg,uncollected_separator_h2_kg,collected_h2_kg,remaining_reactive_fe_kg,water_remaining_kg,salt_kg,salt_molality,free_h2_volume_m3_ideal,gross_electricity_kwh,average_gross_power_kw,initial_pump_electricity_kwh,sensible_heat_kwh_thermal,heater_electricity_kwh,standalone_balance_kwh,warm_pressurized_balance_kwh,h2_ledger_error_kg
ten_year_assumption,7.456278492743608,0.010077041116922182,0.010077041116922182,0.0,0.010077041116922182,0.0,0.0,591.0329270411713,19999.90994468059,5259.852,4.500020262538105,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
ten_year_assumption,7.937642262969577,0.01072710636475998,0.01072710636475998,0.0,0.01072710636475998,0.0,0.0,590.9789016620333,19999.90413525371,5259.852,4.500021569671304,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
ten_year_assumption,8.450082002194245,0.011419073342643382,0.011419073342643382,0.0,0.011419073342643382,0.0,0.0,590.9213939296089,19999.897951364364,5259.852,4.500022961060175,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
ten_year_assumption,8.995603918422743,0.012155638453855413,0.012155638453855413,0.0,0.012155638453855413,0.0,0.0,590.860179752224,19999.891368915647,5259.852,4.500024442126739,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
ten_year_assumption,9.576343736798028,0.012939671018996492,0.012939671018996492,0.0,0.012939671018996492,0.0,0.0,590.7950206674566,19999.884362265355,5259.852,4.500026018640732,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
ten_year_assumption,10.194575060991603,0.013774224285232756,0.013774224285232756,0.0,0.013774224285232756,0.0,0.0,590.7256629271849,19999.876904127585,5259.852,4.500027696741761,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
ten_year_assumption,10.852718274390392,0.014662547125821723,0.014662547125821723,0.0,0.014662547125821723,0.0,0.0,590.6518365252671,19999.86896546819,5259.852,4.500029482962821,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
ten_year_assumption,11.553350015928064,0.0156080964717645,0.0156080964717645,0.0,0.0156080964717645,0.0,0.0,590.5732541643763,19999.86051539367,5259.852,4.500031384255306,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
ten_year_assumption,12.299213267658759,0.01661455051977629,0.01661455051977629,0.0,0.01661455051977629,0.0,0.0,590.4896101583175,19999.851521033153,5259.852,4.50003340801556,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
ten_year_assumption,13.093228093566237,0.01768582276321365,0.01768582276321365,0.0,0.01768582276321365,0.0,0.0,590.4005792659508,19999.841947412988,5259.852,4.500035562113112,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
